Load Shedding Stage,Date,Time,Load Block
1,20230817,500,16
3,20230816,1600,5
3,20230815,1600,17
1,20230815,500,9
3,20230814,1600,17
1,20230814,500,3
3,20230813,1600,12
1,20230813,500,15
3,20230811,1600,9
0,20230811,500,7
3,20230810,1600,5
3,20230809,1600,6
0,20230809,500,1
3,20230808,1600,10
1,20230808,500,4
4,20230807,1600,2
1,20230807,500,1
3,20230806,1600,11
1,20230806,500,2
3,20230805,1600,6
1,20230805,500,12
3,20230804,1600,1
1,20230804,500,15
4,20230803,1600,4
1,20230803,500,14
4,20230802,1600,14
1,20230802,500,1
4,20230801,1600,10
2,20230801,500,17
4,20230731,1600,12
2,20230731,500,5
4,20230730,1600,9
2,20230730,500,17
4,20230729,1600,6
3,20230729,500,7
4,20230725,500,6
5,20230724,1400,10
4,20230723,1400,12
2,20230723,500,10
4,20230722,0,10
5,20230721,1600,17
4,20230721,1000,8
2,20230721,500,9
0,20230721,15,3
4,20230720,1600,3
3,20230720,500,3
4,20230719,1600,14
1,20230719,500,1
3,20230718,1600,11
1,20230718,500,17
0,20230718,2,13
4,20230717,1600,17
2,20230717,500,10
0,20230717,15,7
4,20230716,1600,1
2,20230716,800,2
0,20230716,135,6
4,20230713,500,17
6,20230712,1400,17
4,20230712,700,12
3,20230712,500,15
4,20230711,1400,12
2,20230711,500,4
3,20230709,1600,3
0,20230709,0,4
3,20230708,1600,5
0,20230708,1200,17
1,20230708,500,10
0,20230708,0,11
3,20230707,1600,11
1,20230707,500,13
0,20230707,0,5
3,20230706,1600,4
1,20230706,500,1
0,20230706,0,12
3,20230705,1600,12
1,20230705,500,9
0,20230705,0,14
3,20230704,1600,8
0,20230704,0,2
3,20230703,1600,14
0,20230703,0,6
3,20230702,1600,14
0,20230702,0,12
3,20230701,1600,15
0,20230701,0,5
3,20230630,1600,13
1,20230630,500,14
0,20230630,0,10
3,20230629,1600,8
1,20230629,500,3
3,20230628,1600,17
2,20230628,700,1
0,20230628,0,4
3,20230627,1600,3
0,20230627,0,2
3,20230626,1600,11
0,20230626,0,14
3,20230625,1600,5
1,20230625,500,2
0,20230625,0,6
3,20230624,1600,15
1,20230624,500,8
0,20230624,0,16
3,20230623,1600,17
0,20230623,0,13
3,20230622,1600,11
0,20230622,0,17
0,20230621,0,16
3,20230620,1600,12
0,20230620,0,16
3,20230619,1600,10
0,20230619,0,3
3,20230618,1600,11
0,20230618,0,10
3,20230617,1600,15
0,20230617,0,11
3,20230616,1600,1
0,20230616,0,8
3,20230615,1600,11
0,20230615,0,5
3,20230614,1600,15
0,20230614,0,6
3,20230613,1600,10
0,20230613,0,10
3,20230612,1600,16
4,20230611,1600,5
1,20230611,500,11
0,20230611,0,7
4,20230610,1600,11
0,20230610,0,16
3,20230609,1600,13
0,20230609,0,14
3,20230608,1600,13
0,20230608,0,3
3,20230607,1600,15
0,20230607,0,7
3,20230606,1600,5
0,20230606,800,7
1,20230606,500,3
4,20230605,1600,6
0,20230605,500,2
2,20230604,1600,9
4,20230603,1600,5
0,20230603,1140,16
2,20230603,500,11
4,20230602,500,5
6,20230601,1600,7
4,20230601,500,8
6,20230531,1600,13
4,20230531,500,12
6,20230530,1600,12
4,20230530,500,9
6,20230529,1600,13
4,20230529,500,15
5,20230528,1600,5
2,20230528,500,2
5,20230527,1600,2
3,20230527,500,8
4,20230526,500,14
5,20230525,1600,4
4,20230525,500,3
5,20230524,1600,16
4,20230524,500,2
5,20230523,1600,5
4,20230523,500,13
5,20230522,1600,12
3,20230522,500,9
4,20230521,1600,4
1,20230521,500,14
4,20230520,1600,9
3,20230520,500,2
4,20230519,500,16
5,20230518,1600,2
4,20230518,500,13
4,20230517,500,12
6,20230516,1600,10
4,20230516,500,4
6,20230515,1500,12
4,20230515,500,11
6,20230514,1600,15
3,20230514,745,5
0,20230514,53,16
5,20230513,1600,3
3,20230513,500,6
6,20230507,1600,12
5,20230506,1344,5
4,20230506,500,1
5,20230505,1600,6
4,20230505,500,15
6,20230504,1600,8
4,20230504,500,13
4,20230503,500,15
6,20230502,1600,11
4,20230502,500,16
3,20230501,1600,16
1,20230501,500,1
3,20230430,1600,6
1,20230430,500,7
4,20230429,1600,12
3,20230429,500,3
4,20230428,1600,13
3,20230428,500,10
2,20230427,500,15
4,20230426,1600,11
3,20230426,500,4
6,20230425,1600,15
4,20230425,500,17
6,20230424,1600,14
3,20230424,500,16
4,20230423,1600,15
3,20230423,500,15
4,20230422,1600,7
3,20230422,500,5
6,20230420,1600,13
5,20230420,500,5
6,20230419,1600,9
5,20230419,500,7
5,20230418,500,7
6,20230415,1600,16
6,20230412,1600,14
5,20230411,1600,13
3,20230410,1700,10
0,20230410,500,4
2,20230409,1700,16
0,20230409,500,13
2,20230408,1700,3
0,20230408,1100,16
1,20230408,500,14
2,20230407,1600,11
1,20230407,500,12
4,20230405,1600,6
4,20230404,1600,5
3,20230404,500,3
4,20230403,1600,15
3,20230403,500,17
4,20230331,1311,16
3,20230331,500,12
4,20230330,1600,7
3,20230329,1811,5
1,20230329,500,17
2,20230328,1600,16
1,20230328,500,12
3,20230327,1600,11
2,20230327,500,7
1,20230326,1600,9
0,20230326,500,8
2,20230325,1600,6
1,20230325,500,11
2,20230324,500,16
3,20230323,1600,9
2,20230323,500,15
3,20230322,1600,17
2,20230322,500,3
0,20230320,1100,4
1,20230320,500,3
0,20230319,500,6
1,20230318,500,13
2,20230317,1200,12
3,20230315,500,13
4,20230312,1600,11
1,20230312,500,2
3,20230311,500,7
4,20230308,500,11
5,20230307,1600,14
4,20230307,500,16
5,20230306,1600,14
4,20230305,1600,10
2,20230305,500,14
4,20230304,1600,1
3,20230304,500,2
4,20230303,500,16
5,20230302,1600,9
4,20230302,500,5
4,20230228,1600,6
3,20230228,500,13
5,20230227,1600,14
5,20230226,500,17
6,20230219,2000,1
4,20230219,500,13
4,20230217,1600,2
3,20230217,500,14
4,20230216,1600,15
3,20230216,500,12
4,20230215,1600,14
3,20230215,500,6
4,20230214,1600,1
3,20230214,500,14
4,20230213,1600,3
3,20230212,1600,12
2,20230212,500,9
3,20230211,500,1
4,20230210,1600,8
3,20230210,500,3
4,20230209,1600,11
3,20230209,500,14
4,20230208,1600,6
3,20230208,500,16
4,20230207,1600,1
3,20230207,500,9
4,20230206,1600,14
3,20230206,500,15
2,20230205,1600,11
0,20230205,500,9
3,20230204,500,1
4,20230203,500,8
5,20230201,500,6
6,20230131,2100,15
5,20230131,1200,16
4,20230129,1600,2
2,20230129,500,3
4,20230128,1600,15
3,20230128,500,12
4,20230127,500,17
5,20230126,500,9
4,20230125,1600,15
3,20230125,500,10
3,20230124,500,9
4,20230123,1600,10
3,20230122,1600,6
2,20230122,500,8
4,20230121,1600,13
3,20230121,500,8
4,20230120,500,7
4,20230119,500,8
5,20230118,1600,16
4,20230118,500,3
5,20230117,1600,6
4,20230117,500,10
6,20230111,1600,10
4,20230111,500,3
6,20230110,2100,8
4,20230110,1600,7
3,20230110,500,10
4,20230109,1600,9
3,20230109,500,15
4,20230108,1600,4
3,20230108,500,2
4,20230107,1600,8
3,20230107,500,16
4,20230106,1600,2
3,20230106,500,10
4,20230105,1600,5
3,20230104,1600,15
2,20221231,500,5
4,20221230,1600,5
3,20221229,500,10
4,20221228,1610,8
3,20221228,1600,7
2,20221228,500,1
3,20221227,1600,16
1,20221226,500,1
0,20221225,500,4
3,20221224,500,2
4,20221221,500,13
4,20221220,500,1
5,20221219,500,16
6,20221216,844,9
4,20221215,500,10
5,20221210,1324,14
4,20221210,500,10
6,20221207,1200,9
4,20221207,900,13
2,20221207,500,2
3,20221206,1600,9
2,20221206,500,5
3,20221205,500,5
4,20221203,2206,9
2,20221202,1600,13
0,20221202,500,7
2,20221201,1600,8
0,20221201,500,14
2,20221130,1600,11
2,20221129,1600,17
0,20221129,500,6
2,20221128,1600,12
1,20221128,500,7
0,20221128,0,1
2,20221125,500,4
3,20221124,1600,8
2,20221124,500,3
4,20221123,1601,10
2,20221123,500,11
4,20221122,1600,13
2,20221122,500,9
4,20221120,1700,11
0,20221120,854,3
4,20221118,601,17
2,20221118,500,6
3,20221117,1600,2
2,20221117,500,13
3,20221116,1600,11
2,20221115,500,6
3,20221114,1600,13
2,20221108,900,2
0,20221108,500,16
2,20221107,1600,10
0,20221106,1209,3
1,20221106,500,7
2,20221105,1600,6
1,20221105,500,9
2,20221104,1600,14
1,20221104,500,13
2,20221103,1600,10
1,20221103,500,11
2,20221102,1600,6
1,20221102,500,8
0,20221101,500,5
2,20221031,500,5
0,20221029,0,13
3,20221028,1600,7
2,20221028,500,13
4,20221027,1600,13
3,20221027,500,14
4,20221026,1600,4
3,20221026,500,11
4,20221025,1600,7
3,20221025,500,17
4,20221024,1600,4
3,20221024,500,14
4,20221023,1200,4
3,20221019,1600,7
0,20221019,500,17
2,20221019,0,16
4,20221018,601,13
2,20221017,1600,3
0,20221017,0,9
2,20221015,1400,17
0,20221015,0,1
0,20221014,1,13
2,20221013,1600,15
0,20221013,0,4
2,20221012,1600,15
0,20221012,0,15
2,20221011,1600,12
0,20221011,0,12
2,20221010,1600,13
0,20221008,500,6
3,20221006,500,14
3,20221001,500,7
4,20220928,1600,9
3,20220928,0,12
4,20220927,1601,1
3,20220927,0,1
4,20220926,1600,11
3,20220925,518,6
4,20220924,459,7
5,20220920,13,7
6,20220918,449,2
4,20220913,1003,15
2,20220913,500,1
3,20220912,500,14
4,20220910,1016,12
3,20220909,1400,17
2,20220908,501,11
2,20220907,458,17
0,20220906,2202,1
2,20220906,1602,7
0,20220818,2342,12
2,20220818,1600,4
0,20220818,2,7
2,20220817,1600,11
0,20220817,2,9
2,20220816,1600,6
0,20220806,2102,13
2,20220806,1555,3
0,20220806,4,16
2,20220805,500,12
0,20220805,0,2
4,20220804,1604,10
2,20220804,501,16
0,20220804,4,9
2,20220803,1604,5
0,20220723,0,8
1,20220722,1600,2
0,20220722,2,4
2,20220721,1600,15
0,20220721,2,7
2,20220720,1600,1
0,20220720,4,4
2,20220719,1604,11
0,20220719,1,7
2,20220718,1600,6
0,20220718,1,5
2,20220717,1601,9
0,20220717,2,15
2,20220716,1601,1
0,20220716,1,12
0,20220715,1,17
4,20220714,1606,14
3,20220714,502,2
1,20220714,1,10
3,20220713,503,14
2,20220713,1,15
4,20220712,501,14
2,20220712,1,5
4,20220711,455,10
2,20220711,0,1
4,20220710,1604,9
3,20220710,701,14
2,20220710,17,12
3,20220709,700,2
2,20220708,2342,3
4,20220708,500,17
2,20220708,0,13
4,20220707,2201,12
5,20220707,1546,4
4,20220707,501,17
2,20220707,1,2
4,20220706,2200,10
5,20220706,1547,16
4,20220706,501,15
2,20220705,2359,10
4,20220705,2200,6
4,20220705,500,17
2,20220705,1,4
4,20220704,2201,1
6,20220704,1600,16
4,20220704,501,3
2,20220704,0,1
4,20220703,659,3
4,20220702,658,10
2,20220701,2211,5
4,20220701,0,4
6,20220630,1403,16
2,20220629,2347,9
4,20220629,2159,4
6,20220629,1602,4
4,20220629,455,2
2,20220628,2347,8
4,20220628,2143,13
6,20220628,1601,7
4,20220628,500,9
0,20220628,4,5
4,20220627,500,3
0,20220627,1,5
4,20220626,508,8
0,20220626,1,10
4,20220625,502,13
0,20220625,2,3
4,20220624,1100,13
2,20220624,502,15
0,20220624,1,15
2,20220623,501,5
0,20220623,1,12
2,20220622,1006,10
0,20220621,2202,16
2,20220621,1701,11
0,20220620,2202,16
2,20220620,1700,10
0,20220530,2159,5
2,20220530,1659,5
0,20220528,2202,12
1,20220528,1702,3
0,20220527,2209,10
2,20220527,1656,2
0,20220526,2202,1
2,20220526,1712,17
0,20220525,2203,10
2,20220525,1701,12
0,20220524,2204,11
2,20220524,1703,9
0,20220523,2203,12
2,20220523,1704,9
0,20220522,2159,17
3,20220522,1602,4
2,20220522,801,6
0,20220521,2201,7
4,20220521,1300,3
2,20220521,802,11
0,20220520,2159,5
2,20220520,1702,6
0,20220519,2204,3
2,20220519,1658,13
0,20220518,2210,17
2,20220518,1659,11
0,20220517,2203,5
3,20220517,1703,14
0,20220516,2202,2
4,20220516,1659,8
0,20220515,2204,9
2,20220515,1703,10
0,20220514,2202,4
2,20220514,1703,15
0,20220513,2202,5
1,20220513,1658,15
0,20220512,2208,1
2,20220512,1658,13
0,20220511,2159,2
2,20220511,1657,13
0,20220510,2203,2
2,20220510,1701,3
0,20220509,2201,1
2,20220509,1701,8
0,20220507,1203,15
1,20220506,2208,4
2,20220503,1703,4
0,20220422,2205,15
2,20220421,2203,1
3,20220420,2204,4
4,20220419,730,14
2,20220417,1559,1
0,20220415,502,5
2,20220412,1702,8
0,20220412,500,1
2,20220411,1812,11
0,20220313,2001,13
2,20220311,531,1
3,20220310,2101,17
4,20220309,849,4
2,20220307,1653,15
0,20220208,500,5
2,20220207,2100,12
0,20220206,2100,4
2,20220202,1101,6
0,20211205,2101,7
2,20211204,2101,5
0,20211119,1806,4
1,20211119,450,2
0,20211118,2100,4
2,20211117,1400,1
0,20211112,544,8
2,20211111,1210,7
3,20211110,501,13
4,20211108,1302,16
2,20211106,502,12
4,20211105,1400,1
0,20211103,503,1
2,20211102,1601,2
0,20211029,2001,2
2,20211029,501,17
3,20211028,2102,3
4,20211027,1202,3
2,20211026,901,16
0,20211026,510,14
2,20211025,1800,9
0,20211025,502,4
2,20211023,2101,8
0,20211014,500,9
2,20211008,2100,15
0,20211008,502,12
2,20211007,2103,3
0,20210722,2101,16
2,20210722,1611,13
0,20210613,2000,4
1,20210613,1710,7
0,20210612,2000,17
1,20210612,1650,11
0,20210611,2001,2
2,20210610,2204,2
3,20210610,803,9
2,20210609,2201,2
4,20210609,1400,16
2,20210609,1002,8
0,20210608,2201,1
0,20210608,657,3
1,20210607,1702,6
0,20210606,2205,3
1,20210606,1702,1
0,20210605,2201,3
2,20210604,1702,1
0,20210604,1203,12
2,20210602,1000,13
0,20210602,503,4
2,20210601,1601,16
0,20210601,511,14
2,20210531,1600,5
0,20210526,2205,16
1,20210526,1709,1
0,20210518,2202,17
1,20210518,1700,8
0,20210518,542,2
2,20210516,1735,1
0,20210414,526,17
2,20210413,2101,12
0,20210319,1201,2
2,20210318,1404,13
0,20210318,1015,6
2,20210317,2104,10
1,20210317,458,10
2,20210310,1700,4
0,20210211,557,10
3,20210210,1257,12
0,20210210,502,15
2,20210209,2158,7
0,20210207,806,17
2,20210205,1421,1
0,20210118,2304,15
1,20210118,2105,16
2,20210118,453,15
1,20210117,2259,1
2,20210114,1153,11
0,20210108,501,13
2,20210107,2203,1
0,20210107,601,10
2,20210106,2301,7
0,20201231,507,14
2,20201230,2211,11
0,20201230,507,5
2,20201229,2225,1
0,20201212,2302,4
2,20201212,602,9
0,20200907,2203,2
2,20200907,1600,13
1,20200907,800,1
0,20200906,2016,14
2,20200906,800,10
0,20200905,2200,4
2,20200905,800,4
0,20200904,2112,13
3,20200904,801,13
0,20200903,2204,10
4,20200903,800,11
0,20200902,2221,2
4,20200902,1500,3
2,20200902,800,1
0,20200901,2200,9
2,20200901,1200,2
0,20200820,2200,13
2,20200820,902,16
0,20200819,2200,17
2,20200819,900,8
0,20200818,2156,2
2,20200818,1601,17
0,20200814,2131,5
1,20200814,1700,15
2,20200814,759,11
0,20200813,2202,13
2,20200813,755,17
0,20200716,2115,10
2,20200716,1400,14
1,20200716,900,15
0,20200715,2150,2
2,20200715,1401,8
1,20200715,900,11
0,20200714,2157,9
2,20200714,903,11
0,20200713,2201,13
2,20200713,900,15
0,20200712,2200,16
2,20200712,759,15
0,20200711,2234,2
2,20200711,904,1
0,20200710,2216,7
2,20200710,1216,12
0,20200315,1200,13
1,20200315,700,1
0,20200314,2300,15
1,20200314,1212,6
2,20200314,702,6
0,20200313,2300,13
3,20200313,1441,3
4,20200311,953,17
2,20200310,2259,15
4,20200310,1401,16
2,20200310,900,16
0,20200310,500,4
1,20200309,859,2
0,20200222,1700,1
2,20200220,858,16
0,20200216,2100,16
2,20200216,915,12
3,20200215,858,9
2,20200214,2110,2
0,20200211,2100,12
1,20200211,900,16
0,20200211,600,2
1,20200210,901,7
0,20200209,2053,11
2,20200204,856,13
0,20200204,600,6
2,20200203,1802,7
0,20200203,1601,5
2,20200203,855,5
0,20200203,636,10
2,20200131,902,10
0,20200131,601,16
2,20200130,2100,4
0,20200110,2257,6
1,20200110,601,17
2,20200108,2057,10
0,20200108,601,2
2,20200108,59,7
0,20200105,2300,13
2,20200104,2156,8
0,20191213,2100,16
2,20191213,901,13
1,20191212,2255,9
2,20191210,2058,14
3,20191210,2000,12
2,20191208,900,15
1,20191207,2251,9
2,20191206,2301,6
4,20191206,1407,1
2,20191206,902,9
0,20191206,704,15
2,20191205,1600,12
0,20191108,500,10
2,20191107,2200,3
0,20191019,2259,14
1,20191019,858,14
0,20191018,2303,11
2,20191018,1200,17
1,20191018,847,12
0,20191017,2301,8
2,20191017,900,15
0,20191016,2300,7
2,20191016,859,7
0,20190323,2231,1
2,20190323,913,9
1,20190322,2300,1
2,20190322,859,7
1,20190321,2341,9
4,20190321,859,5
2,20190320,2301,17
4,20190320,855,14
2,20190319,2300,9
4,20190319,900,13
2,20190319,809,16
4,20190318,900,10
2,20190317,2255,15
4,20190317,737,5
2,20190316,2256,2
4,20190316,1223,9
2,20190316,802,2
0,20190315,2302,7
2,20190315,805,16
0,20190314,2318,11
2,20190314,1500,2
1,20190314,1101,13
0,20190214,2203,16
2,20190214,800,8
0,20190213,2155,6
3,20190213,800,8
0,20190212,2228,16
3,20190212,800,2
0,20190211,2306,3
4,20190211,1303,15
2,20190211,901,5
0,20190210,2202,11
0,20181208,2141,14
1,20181208,1015,9
0,20181207,2139,12
1,20181207,900,5
0,20181206,2058,17
